parcel_id,owner_id,zipcode,rental,census_tracts
11340255,4034,53511,N,25.1
11340260,24300,53511,N,25.1
11340265,1212,53511,Y,25.1
11340275,45372,53511,N,25.1
11340280,45153,53511,Y,25.1
11340285,1104,53511,N,25.1
11340290,58787,53511,N,25.1
11340295,49347,53511,Y,25.1
11340300,4680,53511,N,25.1
11340305,1840,53511,N,25.1
11340310,10593,53511,N,25.1
11340315,11494,53511,N,25.1
11340325,14566,53511,Y,25.1
11340330,10971,53511,N,25.1
11340335,58997,53511,Y,25.1
11340340,59012,53511,N,25.1
11340345,11540,53511,N,25.1
11340350,54302,53511,N,25.1
11340355,60594,53511,N,25.1
11340360,24434,53511,N,25.1
11340365,3053,53511,N,25.1
11340370,1821,53511,N,25.1
11340380,23831,53511,N,25.1
11340385,15333,53511,N,25.1
11340392,11360,53511,N,25.1
11340397,29136,53511,N,25.1
11340405,46519,53511,N,25.1
11340411,13330,53511,N,25.1
11340418,55137,53511,N,25.1
11340450,16116,53511,Y,25.1
11340460,23158,53511,N,25.1
11340470,59381,53511,Y,25.1
11340480,59381,53511,Y,25.1
11340490,56790,53511,Y,25.1
11340500,56790,53511,Y,25.1
11340510,23841,53511,Y,25.1
11340590,46815,53511,N,25.1
11340600,42528,53511,N,25.1
11340910,48571,53511,N,25.1
11340920,26595,53511,N,25.1
11340930,6273,53511,N,25.1
11340940,26232,53511,N,25.1
11340950,2194,53511,N,25.1
11340960,24523,53511,Y,25.1
11340970,15869,53511,N,25.1
11340980,15810,53511,N,25.1
11340990,26787,53511,N,25.1
11341000,55071,53511,N,25.1
11341010,54169,53511,N,25.1
11341020,27160,53511,N,25.1
11341030,56197,53511,N,25.1
11341040,41192,53511,N,25.1
11341050,10341,53511,N,25.1
11341060,6639,53511,N,25.1
11341070,2821,53511,N,25.1
11341080,1150,53511,N,25.1
11341090,51313,53511,N,25.1
11341100,53414,53511,Y,25.1
11341110,23841,53511,Y,25.1
11341120,28546,53511,Y,25.1
11341130,15501,53511,N,25.1
11341140,26770,53511,N,25.1
11341150,23842,53511,N,25.1
11341160,51432,53511,N,25.1
11341170,4317,53511,N,25.1
11341180,59168,53511,N,25.1
11341200,1238,53511,N,25.1
11341210,1126,53511,N,25.1
11341260,41082,53511,Y,25.1
11341270,8937,53511,Y,25.1
11341280,46666,53511,N,25.1
11341290,49347,53511,Y,25.1
11341300,43397,53511,N,25.1
11341310,4824,53511,N,25.1
11341320,60287,53511,N,25.1
11341390,47999,53511,N,25.1
11341400,10377,53511,N,25.1
11341410,14358,53511,N,25.1
11341420,7705,53511,N,25.1
11341430,13062,53511,N,25.1
11341500,58878,53511,N,25.1
11341505,60879,53511,N,25.1
11341510,55672,53511,N,25.1
11341515,59382,53511,N,25.1
11341525,8542,53511,N,25.1
11341530,46123,53511,N,25.1
11341549,23006,53511,N,25.1
11341550,51207,53511,N,25.1
11341555,43119,53511,N,25.1
11341560,52860,53511,N,25.1
11341565,40663,53511,N,25.1
11341570,16567,53511,N,25.1
11341575,16564,53511,N,25.1
11341580,53254,53511,N,25.1
11341585,53577,53511,N,25.1
11341590,55394,53511,N,25.1
11341595,23451,53511,N,25.1
11341600,56239,53511,N,25.1
11341605,16560,53511,N,25.1
11341610,16546,53511,N,25.1
11341615,11083,53511,N,25.1
11341620,58597,53511,N,25.1
11341625,16552,53511,N,25.1
11341630,46568,53511,N,25.1
11341635,58908,53511,N,25.1
11341640,52125,53511,N,25.1
11341645,56555,53511,N,25.1
11341650,57858,53511,N,25.1
11341655,50575,53511,N,25.1
11341660,53766,53511,N,25.1
11341665,16536,53511,N,25.1
11361020,6005,53511,N,24.2
11361050,8463,53511,N,24.2
11361100,12947,53511,N,24.2
11361130,25478,53511,N,24.2
11361150,54176,53511,N,24.2
11361160,55784,53511,N,24.2
11361170,58023,53511,N,24.2
11361180,8380,53511,N,24.2
11361190,15838,53511,N,24.2
11361200,12947,53511,N,24.2
11361400,43900,53511,N,24.2
11361600,43900,53511,N,24.2
11450500,24250,53511,N,22.2
11460010,23272,53511,N,22.2
11460015,27777,53511,N,22.2
11460020,47545,53511,N,22.2
11510100,58188,53511,N,22.2
11540010,47545,53511,N,22.2
11560010,47545,53511,N,22.2
11570010,55751,53511,N,22.2
11580010,41928,53511,N,22.2
12110010,56236,53511,N,21.1
12120010,42220,53511,N,21.1
12131510,3625,53511,N,22.1
12131520,57766,53511,N,22.1
12131530,54121,53511,N,22.1
12131540,24364,53511,N,22.1
12131551,50225,53511,N,22.1
12131561,7008,53511,N,22.1
12131571,52083,53511,N,22.1
12131581,3702,53511,N,22.1
12131591,44694,53511,N,22.1
12131601,9171,53511,N,22.1
12131611,56319,53511,N,22.1
12131630,50115,53511,N,22.1
12131640,10014,53511,N,22.1
12131650,12710,53511,N,22.1
12131660,2302,53511,N,21.1
12131670,58241,53511,N,21.1
12131680,26298,53511,N,21.1
12131690,60402,53511,N,21.1
12131700,2246,53511,N,21.1
12131710,43620,53511,N,21.1
12131720,3599,53511,N,22.1
12131730,11583,53511,N,22.1
12131740,8280,53511,N,22.1
12131750,9402,53511,N,22.1
12131760,53660,53511,N,22.1
12131770,29689,53511,N,22.1
12131780,59195,53511,N,22.1
12131790,12373,53511,N,22.1
12131800,14377,53511,N,22.1
12131810,13238,53511,N,22.1
12131820,42305,53511,N,22.1
12131830,3162,53511,N,22.1
12131840,11872,53511,N,22.1
12131850,27725,53511,N,22.1
12131860,25509,53511,N,22.1
12131870,12818,53511,N,22.1
12131880,59377,53511,N,22.1
12131890,53067,53511,Y,22.1
12131900,60398,53511,N,22.1
12131910,55231,53511,N,22.1
12131920,40327,53511,N,22.1
12131930,10340,53511,N,22.1
12131940,10340,53511,N,22.1
12131951,11108,53511,N,22.1
12131961,53657,53511,N,22.1
12131971,54070,53511,N,22.1
12131991,15066,53511,N,22.1
12132001,23845,53511,N,22.1
12132011,41592,53511,N,22.1
12132020,59806,53511,N,22.1
12132030,2117,53511,N,21.1
12132075,42362,53511,N,21.1
12132165,42362,53511,N,21.1
12132205,42362,53511,N,21.1
12132210,2863,53511,N,21.1
12132215,4037,53511,N,21.1
12132220,4037,53511,N,21.1
12132225,53086,53511,N,21.1
12132230,16175,53511,N,21.1
12132235,16467,53511,N,21.1
12132240,16143,53511,N,21.1
12132250,12947,53511,N,21.1
12132260,48715,53511,N,21.1
12132270,16049,53511,N,21.1
12132280,16625,53511,N,21.1
12132290,47803,53511,N,21.1
12132300,3036,53511,N,21.1
12132320,7220,53511,N,21.1
12132330,40088,53511,N,21.1
12132340,43158,53511,Y,21.1
12132350,13051,53511,Y,21.1
12132360,60054,53511,N,21.1
12132370,44377,53511,N,21.1
12132380,58791,53511,N,21.1
12132390,10465,53511,N,21.1
12132410,6696,53511,N,21.1
12132420,49896,53511,N,21.1
12132430,2016,53511,N,21.1
12132450,49896,53511,N,21.1
12132480,49896,53511,N,21.1
12132520,49896,53511,N,21.1
12132540,58448,53511,N,22.1
12132560,7077,53511,N,21.1
12132580,41453,53511,N,21.1
12132590,40121,53511,N,21.1
