owner_id,owner_zipcode
57401,53511
12947,53511
12947,53511
12947,53511
60567,53511
54538,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
52574,54303
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
42176,54311
59098,53045
42176,54311
59098,53045
42176,54311
59098,53045
42176,54311
59098,53045
42176,54311
59098,53045
42176,54311
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
59098,53045
52574,54303
25148,53008
25148,53008
41032,53511
25148,53008
41031,53511
15214,53511
12778,53511
12997,53511
23838,53511
45311,53511
12690,53511
56775,53511
20127,53511
5906,53511
29465,53511
9920,53511
15911,53511
15622,53511
7467,53511
22635,53511
28222,53511
14883,61073
6768,53563
15657,53511
21990,53511
4021,53511
51044,53590
4679,61072
51957,53719
44064,60645
16067,53511
56141,53511
15550,53511
15743,53511
56741,53511
5285,53511
15908,53511
55613,53511
5947,53511
52082,53511
13818,53511
43046,53511
12919,53511
1734,53511
1734,53511
1203,53511
1012,53511
22254,53511
54159,57325
54159,57325
1345,53511
41084,53511
12315,53511
56039,53511
3138,53511
56198,53511
52861,53511
41206,53511
53701,53511
57776,53511
14492,53511
56291,53511
52386,53511
59118,53511
44717,53511
20120,53511
1487,53511
54159,57325
13407,53511
12849,53511
11486,53511
56659,53910
23259,53511
57220,53511
50312,53511
55291,53511
43168,53511
1189,53719
4313,53511
54587,53511
7330,53511
54530,53511
1982,53511
12767,53511
53878,53511
26072,53511
58514,53511
56643,53511
55066,53511
2033,53511
53309,53511
55753,53511
59772,53511
55425,53511
1727,53511
7939,53511
51040,53511
1252,53511
58431,53511
55254,75069
3720,53511
48872,53511
57902,53511
25148,53008
15867,53122
11121,53511
11120,53511
48543,53511
2826,53511
26084,60067
26084,60067
26084,60067
26084,60067
26084,60067
26084,60067
56102,53511
26084,60067
5277,53511
49309,53511
26084,60067
26084,60067
22380,53511
59919,53511
26084,60067
26084,60067
26084,60067
26084,60067
45651,53511
26084,60067
1819,53511
12687,53511
15386,53511
4061,53511
8758,53511
60246,53511
13941,53511
2624,53511
58858,53511
7177,53511
7231,53511
14021,53511
14820,53511
48678,53511
6110,53511
56179,53511
4034,53511
24300,53511
1212,53511
45372,53511
45153,53511
1104,53511
58787,53511
49347,53511
4680,53511
1840,53511
10593,53511
11494,53511
14566,53511
10971,53511
58997,61073
59012,53511
11540,53511
54302,53511
60594,53511
24434,53511
3053,53511
1821,53511
23831,53511
15333,53511
11360,53511
29136,53511
46519,53511
13330,53511
13330,53511
55137,53545
41001,53547
16116,53114
23158,53511
59381,61073
59381,61073
56790,61073
56790,61073
23841,53563
46815,53217
42528,53217
48571,53511
26595,53511
6273,53511
26232,53511
2194,53511
24523,32162
15869,53511
15810,53511
26787,53511
55071,53511
54169,53511
27160,53511
56197,53511
41192,53511
10341,53511
6639,53511
2821,53511
1150,53511
51313,53511
53414,53511
23841,53563
28546,53190
15501,53511
26770,53511
23842,53511
51432,53511
4317,53511
59168,53511
1238,53511
1126,53511
41082,53511
8937,61072
46666,53511
49347,53511
43397,53511
4824,53511
60287,53511
47999,53511
10377,53511
14358,53511
7705,53511
13062,53511
58878,53511
41104,53511
60879,53511
29414,53511
55672,53545
27113,53511
59382,61073
8542,53511
27046,53511
46123,53511
40853,61270
27147,53511
1367,53511
25050,53511
46123,53511
28123,53511
46123,53511
23006,53511
51207,53511
43119,12302
52860,53511
40663,53511
16567,53511
16564,53511
53254,53511
53577,53511
55394,53511
23451,53511
56239,53950
16560,53511
16546,53511
11083,53511
58597,53511
16552,53511
46568,53511
58908,53511
52125,53511
56555,53511
57858,53511
50575,53511
53766,53511
16536,53511
6005,53511
6005,53511
8463,53511
8420,53563
12947,53511
25478,53511
40724,53511
40804,53511
42938,53525
54176,53511
11765,53511
55784,53512
40726,53511
58023,53546
41004,53511
25365,53511
8380,53511
40772,53511
15838,53511
15837,53511
12947,53511
43900,52802
26186,55402
43900,52802
24250,53511
23272,53511
27777,53511
47545,94523
