violation_id,parcel_id,violation_code
22714,12651770,H400
22715,13660730,H400
22716,13431260,H400
22717,13410135,H400
22718,12520390,H400
22719,12640050,H400
22720,12750715,H400
22721,13411575,H400
22722,21980090,H262
22723,13530500,H400
22724,12560330,H400
22725,12680495,H400
22726,13411185,H400
22727,12531640,H400
22728,13571245,H400
22729,13660315,H400
22730,12740645,H400
22731,13470430,H400
22732,12141020,H425
22733,12141020,H281
22734,12141020,H340
22735,13430885,H309
22736,12740815,H309
22737,21950470,H095
22738,12440560,H200
22739,12510040,H005
22740,12582010,H309
22741,13660112,H420
22741,13660112,H420
22741,13660112,H420
22742,13560400,H309
22743,12720030,H090
22744,13471015,H040
22745,13420385,H309
22746,13530480,H135
22747,12781165,H115
22747,12781165,H180
22747,12781165,H317
22748,12680485,H308
22749,12680300,H309
22750,12620280,H308
22751,13470680,H309
22752,13470545,H262
22753,13461135,H035
22753,13461135,H262
22754,13440760,H120
22755,12710785,H262
22756,12531415,H262
22758,13480970,H262
22759,13411060,H262
22760,13421060,H035
22761,13461750,H309
22762,13461735,H035
22763,13430890,H309
22764,13530068,H120
22764,13530068,H135
22765,12720915,H090
22765,12720915,H116
22765,12720915,H120
22765,12720915,H180
22765,12720915,H260
22766,12580070,H262
22767,12720830,H120
22767,12720830,H121
22767,12720830,H185
22767,12720830,H205
22767,12720830,H300
22768,13670630,H205
22768,13670630,H300
22768,13670630,H300
22769,12620290,H120
22769,12620290,H308
22770,12630015,H308
22770,12630015,H309
22771,12630040,H309
22772,12630040,H308
22773,13421685,H120
22773,13421685,H160
22773,13421685,H275
22773,13421685,H300
22774,12520045,H005
22775,13420205,H160
22775,13420205,H205
22775,13420205,H210
22775,13420205,H275
22776,12581885,H120
22776,12581885,H270
22777,23280005,H308
22777,23280005,H309
22778,13410300,H096
22778,13410300,H180
22778,13410300,H205
22779,13680245,H030
22779,13680245,H096
22780,13430760,H400
22781,12560910,H400
22782,21880503,H400
22783,11333210,H400
22784,12511860,H400
22785,12531445,H400
22786,13680305,H400
22787,13530130,H400
22788,11330370,H400
22789,11330375,H400
22790,12620250,H400
22791,12240385,H400
22792,13640425,H400
22793,12760765,H400
22794,12650505,H400
22795,12740840,H400
22796,12731020,H400
22797,13561225,H400
22798,12141135,H400
22799,13580700,H400
22800,12660145,H400
22801,21951040,H400
22802,13421790,H400
22803,13510710,H400
22804,13460780,H400
22805,12531080,H400
22806,13580340,H400
22807,13680450,H400
22808,12560180,H400
22809,13570750,H400
22810,12441000,H400
22811,12660035,H400
22812,11332590,H400
22813,13560155,H400
22814,12531655,H400
22815,13580850,H400
22816,12640105,H400
22817,13580545,H400
22818,13581105,H400
22819,13440375,H400
22820,13410655,H400
22821,12740640,H400
22822,13571295,H400
22823,12531285,H400
22824,12640435,H400
22825,12620285,H400
22826,12581445,H400
22828,12581440,H400
22829,13681225,H400
22830,21970200,H400
22831,12570800,H400
22832,12580005,H400
22833,12580225,H400
22834,12580115,H400
22835,12581220,H400
22836,13470920,H400
22837,12512140,H400
22838,12640345,H400
22839,12640340,H400
22840,12640335,H400
22841,12610135,H400
22842,13461635,H400
22843,21930100,H400
22844,21920790,H400
22845,13681345,H400
22846,12510645,H400
22847,13431750,H400
22848,21880514,H400
22849,13420360,H400
22850,11331221,H400
22851,12520810,H400
22852,13550355,H401
22853,13560095,H155
22854,13550660,H281
22854,13550660,H281
22854,13550660,H420
22855,13680071,Z10
22856,13561025,H470
22857,13561025,H300
22858,12520530,H005
22859,12630395,H095
22860,12531820,H120
22860,12531820,H185
22860,12531820,H205
22860,12531820,H300
22860,12531820,H317
22861,12531820,H205
22861,12531820,H245
22861,12531820,H245
22861,12531820,H245
22862,12740590,H300
22863,13510885,H400
22864,12580710,H400
22865,12740500,H400
22866,12521260,H400
22867,22110230,H400
22868,12580265,H400
22869,13670110,H400
22870,12512080,H400
22871,13431615,H400
22872,13411160,H400
22873,12510460,H400
22874,12560965,H400
22875,12531610,H400
22876,12560360,H400
22877,12560500,H400
22878,12520070,H400
22879,13481055,H400
22880,13510705,H400
22881,23020080,H400
22882,13440895,H400
22883,11340490,H400
22884,12430560,H400
22885,13540250,H400
22886,12730521,H400
22887,21880225,H400
22888,21880220,H400
22889,21880215,H400
22890,21880200,H400
22891,21880195,H400
22892,12581525,H400
22893,13560445,H400
22894,12640355,H400
22895,12640235,H400
22896,12441145,H400
22897,22980120,H400
22898,13421590,H400
22899,12581120,H400
22900,12720580,H400
22901,12651305,H400
22902,13571375,H091
22902,13571375,H116
22902,13571375,H121
22902,13571375,H121
22902,13571375,H190
22903,12560550,H205
22903,12560550,H240
22904,12582110,H005
22905,12582055,H205
22905,12582055,H270
22905,12582055,H317
22906,12650090,H116
22906,12650090,H317
22907,12650925,H300
22908,13421085,H300
22909,13421085,H170
22910,13580705,H300
22911,13581140,H300
22912,13581140,H300
22913,12571510,H090
22914,13581140,H230
22915,13581140,H170
22916,12580065,H160
22916,12580065,H180
22916,12580065,H240
22916,12580065,H305
22917,12560610,H320
22918,12560810,H320
22919,12570360,H320
22920,12570360,H320
22921,12521615,H300
22922,13660195,H095
22922,13660195,H111
22922,13660195,H240
22923,12680375,H295
22924,12680375,H095
22925,12670320,H095
22926,13660250,H120
22926,13660250,H180
22926,13660250,H240
22926,13660250,H245
22926,13660250,H270
22927,12570530,H320
22928,12640105,H170
22929,12511625,H320
22930,13461690,H400
22931,12670415,H400
22932,13630280,H400
22933,13630275,H400
22934,13510870,H400
22935,13570170,H400
22936,13450930,H400
22937,13431735,H400
22938,13461665,H400
22939,13441130,H400
22940,12660125,H400
22941,12781195,H400
22942,12740825,H400
22943,12440105,H400
22944,12580135,H400
22945,13510240,H400
22946,12650460,H400
22947,13411615,H400
22948,12511505,H400
22949,21850750,H400
22950,12760240,H400
22951,13411025,H400
22952,12581105,H400
22953,12750790,H400
22954,12580900,H400
22955,12670190,H400
22956,13571235,H400
22957,12570605,H400
22958,12560445,H400
22959,12510175,H400
22960,13620245,H400
22961,22120010,H400
22962,12720415,H400
22963,12430480,H400
22964,12141110,H400
22965,13580780,H400
22966,13410765,H400
22967,12650885,H095
22968,12580970,H320
22969,12610367,H320
22970,12580580,H320
22971,13530295,H121
22972,13650340,H430
22973,12510830,H005
22973,12510830,H125
22973,12510830,H262
22974,12561020,H005
22974,12561020,H262
22975,13431250,H300
22976,12520265,H120
22976,12520265,H205
22977,13551235,H309
22978,13570255,H309
22979,13430330,H309
22980,13570075,H120
22980,13570075,H160
22980,13570075,H205
22981,13430350,H295
22982,13660450,H320
22983,13610230,H200
22983,13610230,H308
22983,13610230,H309
22984,13670405,H105
22985,12520880,H120
22985,12520880,H121
22985,12520880,H205
22985,12520880,H240
22986,12581255,H005
22986,12581255,H320
22987,13410320,H400
22988,12582040,H400
22989,12581975,H400
22990,12530655,H400
22991,12680230,H400
22992,13480495,H400
22993,13410735,H400
22994,13580705,H400
22995,13670880,H400
22996,13411820,H400
22997,12740815,H400
22998,12740830,H400
22999,13550650,H400
23000,13550645,H400
23001,12520570,H400
23002,12640465,H400
23003,12750510,H400
23004,13681265,H400
23005,21920805,H400
23006,21910512,H400
23007,22870005,H400
23008,12521475,H400
23009,11330100,H400
23010,21921190,H400
23011,13461710,H400
23012,13630165,H400
23013,13581140,H400
23014,13580025,H400
23015,13441055,H400
23016,13461830,H400
23017,13420940,H400
23018,12350003,H400
23019,12350005,H400
23020,12240985,H400
23021,21880165,H400
23022,13570330,H400
23023,12581585,H400
23024,21930135,H400
23025,21920810,H400
23026,12580815,H400
23027,13610705,H400
23028,21850160,H400
23029,12571495,H400
23030,13680410,H400
23031,12561415,H400
